brand,model,year,title,predicted_path,starting_price,source,verified_on
Mercedes-Benz,GLA,2027,"2027 Mercedes-Benz GLA Specs, Price & Trims",/2026/08/2027-mercedes-benz-gla-specs-price-and-trims.html,"$41,500",https://www.mbusa.com/en/vehicles/class/gla/suv,2026-09-14
Mercedes-Benz,GLB,2027,"2027 Mercedes-Benz GLB Specs, Price & Trims",/2026/08/2027-mercedes-benz-glb-specs-price-and-trims.html,"$43,800",https://www.mbusa.com/en/vehicles/class/glb/suv,2026-09-14
Mercedes-Benz,GLC,2027,"2027 Mercedes-Benz GLC Specs, Price & Trims",/2026/08/2027-mercedes-benz-glc-specs-price-and-trims.html,"$52,400",https://www.mbusa.com/en/vehicles/class/glc/suv,2026-09-14
Mercedes-Benz,GLC Coupe,2027,"2027 Mercedes-Benz GLC Coupe Specs, Price & Trims",/2026/08/2027-mercedes-benz-glc-coupe-specs-price-and-trims.html,"$62,950",https://www.mbusa.com/en/vehicles/class/glc/coupe,2026-09-14
Mercedes-Benz,GLE SUV,2027,"2027 Mercedes-Benz GLE SUV Specs, Price & Trims",/2026/08/2027-mercedes-benz-gle-suv-specs-price-and-trims.html,"$68,400",https://www.mbusa.com/en/vehicles/class/gle/suv,2026-09-14
Mercedes-Benz,GLE Coupe,2027,"2027 Mercedes-Benz GLE Coupe Specs, Price & Trims",/2026/08/2027-mercedes-benz-gle-coupe-specs-price-and-trims.html,"$81,200",https://www.mbusa.com/en/vehicles/class/gle/coupe,2026-09-14
Mercedes-Benz,GLS,2027,"2027 Mercedes-Benz GLS Specs, Price & Trims",/2026/08/2027-mercedes-benz-gls-specs-price-and-trims.html,"$90,250",https://www.mbusa.com/en/vehicles/class/gls/suv,2026-09-14
Mercedes-Benz,G-Class,2027,"2027 Mercedes-Benz G-Class Specs, Price & Trims",/2026/08/2027-mercedes-benz-g-class-specs-price-and-trims.html,"$153,900",https://www.mbusa.com/en/vehicles/class/g-class/suv,2026-09-14
Mercedes-Benz,EQB,2025,"2025 Mercedes-Benz EQB Specs, Price & Trims",/2026/08/2025-mercedes-benz-eqb-specs-price-and-trims.html,"$53,050",https://www.mbusa.com/en/vehicles/class/eqb/suv,2026-09-14
Mercedes-Benz,EQE Sedan,2026,"2026 Mercedes-Benz EQE Sedan Specs, Price & Trims",/2026/08/2026-mercedes-benz-eqe-sedan-specs-price-and-trims.html,"$64,950",https://www.mbusa.com/en/vehicles/class/eqe/sedan,2026-09-14
Mercedes-Benz,EQE SUV,2026,"2026 Mercedes-Benz EQE SUV Specs, Price & Trims",/2026/08/2026-mercedes-benz-eqe-suv-specs-price-and-trims.html,"$64,950",https://www.mbusa.com/en/vehicles/class/eqe/suv,2026-09-14
Mercedes-Benz,EQS Sedan,2026,"2026 Mercedes-Benz EQS Sedan Specs, Price & Trims",/2026/08/2026-mercedes-benz-eqs-sedan-specs-price-and-trims.html,"$101,450",https://www.mbusa.com/en/vehicles/class/eqs/sedan,2026-09-14
Mercedes-Benz,EQS SUV,2026,"2026 Mercedes-Benz EQS SUV Specs, Price & Trims",/2026/08/2026-mercedes-benz-eqs-suv-specs-price-and-trims.html,"$89,950",https://www.mbusa.com/en/vehicles/class/eqs/suv,2026-09-14
Mercedes-Benz,GLC Electric,2027,"2027 Mercedes-Benz GLC Electric Specs, Price & Trims",/2026/08/2027-mercedes-benz-glc-electric-specs-price-and-trims.html,"$63,500",https://www.mbusa.com/en/vehicles/class/glc/electric,2026-09-14
Mercedes-Benz,Mercedes-Maybach S-Class,2027,"2027 Mercedes-Benz Mercedes-Maybach S-Class Specs, Price & Trims",/2026/08/2027-mercedes-benz-mercedes-maybach-s-class-specs-price-and-trims.html,Price coming soon,https://www.mbusa.com/en/vehicles/class/maybach-s-class/sedan,2026-09-14
Mercedes-Benz,Mercedes-Maybach GLS,2027,"2027 Mercedes-Benz Mercedes-Maybach GLS Specs, Price & Trims",/2026/08/2027-mercedes-benz-mercedes-maybach-gls-specs-price-and-trims.html,"$180,000",https://www.mbusa.com/en/vehicles/class/maybach-gls/suv,2026-09-14
Mercedes-Benz,Mercedes-Maybach EQS SUV,2026,"2026 Mercedes-Benz Mercedes-Maybach EQS SUV Specs, Price & Trims",/2026/08/2026-mercedes-benz-mercedes-maybach-eqs-suv-specs-price-and-trims.html,"$180,000",https://www.mbusa.com/en/vehicles/class/maybach-eqs/suv,2026-09-14
Audi,Q9,2027,"2027 Audi Q9 Specs, Price & Trims",/2026/08/2027-audi-q9-specs-price-and-trims.html,"$87,700",https://www.audiusa.com/en/models/q9/q9/2027/overview/,2026-09-14
Audi,Q7,2027,"2027 Audi Q7 Specs, Price & Trims",/2026/08/2027-audi-q7-specs-price-and-trims.html,"$70,900",https://www.audiusa.com/en/models/q7/q7/2027/overview/,2026-09-14
Audi,Nuvolari,2027,"2027 Audi Nuvolari Specs, Price & Trims",/2026/08/2027-audi-nuvolari-specs-price-and-trims.html,Price not announced,https://www.audiusa.com/en/models/nuvolari/intro/,2026-09-14
